facet_id,facet_name,raw_name,category,description,positive_indicators,negative_indicators,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,synonyms,related_facets,examples,keywords,retrieval_text
risktaking,Risktaking,Risktaking,personality,"Risktaking (also: risktakingness, risktakingity, risktakinging, trait) is a personality facet that captures the degree to which a conversational turn exhibits 'risktaking'. Context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, risk-taking, integrity, authenticity. A high score on Risktaking indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates risktaking in their response"", ""The turn contains strong evidence of risktaking"", ""The speaker's language consistently reflects risktaking""]","[""Absence of any signal related to risktaking"", ""The turn contradicts or undermines risktaking"", ""No personality indicator for risktaking is present""]",Strong opposite tendency — behaviour is antithetical to risktaking.,Weak or incidental signal; risktaking is mostly absent.,Mixed — some evidence of risktaking but also contradictory signals.,Clearly present — turn shows consistent evidence of risktaking.,"Strongly exemplifies risktaking; central, pronounced, unmistakable.","[""risktakingness"", ""risktakingity"", ""risktakinging"", ""trait"", ""disposition"", ""character quality""]","[""Integrity"", ""Courage"", ""Honesty"", ""Assertiveness""]","[""A speaker says something that clearly reflects risktaking."", ""The conversation turn is dominated by risktaking.""]","[""risktaking"", ""risktakingness"", ""risktakingity"", ""risktakinging"", ""trait"", ""disposition"", ""character"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""integrity"", ""courage"", ""honesty"", ""assertiveness""]",
naivety,Naivety,Naivety,cognitive,"Naivety (also: credulity, lack of guile, simplistic trust, over-confidence in others) is a cognitive facet that captures the degree to which a conversational turn exhibits 'naivety'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Naivety indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""accepted claims without questioning the source"", ""trusted a stranger's promise without verification"", ""failed to notice obvious deception""]","[""questioned the motive behind the offer"", ""asked for evidence before accepting a claim"", ""expressed appropriate scepticism""]",No application of naivety; reasoning absent or clearly wrong.,Superficial or partial application of naivety.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of naivety with depth.","Expert — sophisticated, fully-correct demonstration of naivety.","[""credulity"", ""lack of guile"", ""simplistic trust"", ""over-confidence in others"", ""gullibility"", ""naivetyness"", ""naivetyity"", ""naivetying""]","[""gullibility"", ""trust"", ""cognitive"", ""common sense""]","[""I sent money to someone I'd never met because they seemed friendly."", ""She believed the email was from the bank without checking."", ""He assumed everyone had good intentions and didn't verify anything.""]","[""naivety"", ""credulity"", ""lack"", ""simplistic"", ""trust"", ""over-confidence"", ""gullibility"", ""naivetyness"", ""naivetyity"", ""naivetying"", ""accepted"", ""claims"", ""trusted"", ""stranger's"", ""failed"", ""notice"", ""cognitive"", ""common"", ""sense""]",
acidity,Acidity,Acidity,clinical_health,"Acidity (also: acidityness, acidityity, aciditying, clinical marker) is a clinical health facet that captures the degree to which a conversational turn exhibits 'acidity'. Context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. A high score on Acidity indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates acidity in their response"", ""The turn contains strong evidence of acidity"", ""The speaker's language consistently reflects acidity""]","[""Absence of any signal related to acidity"", ""The turn contradicts or undermines acidity"", ""No clinical health indicator for acidity is present""]",No clinical signal related to acidity.,Faint or indirect signal of acidity.,Possible — ambiguous; clinical follow-up would be needed.,Likely — strong textual signal of acidity; clinically notable.,"Definitive — unambiguous, quantified, or severe expression of acidity.","[""acidityness"", ""acidityity"", ""aciditying"", ""clinical marker"", ""health indicator"", ""physiological signal""]","[""Moroseness"", ""Anxiety"", ""Compulsive Activities""]","[""A speaker says something that clearly reflects acidity."", ""The conversation turn is dominated by acidity.""]","[""acidity"", ""acidityness"", ""acidityity"", ""aciditying"", ""clinical"", ""marker"", ""health"", ""indicator"", ""physiological"", ""signal"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""moroseness"", ""anxiety"", ""compulsive"", ""activities""]",
democratic_leadership,Democratic Leadership,Democratic Leadership:,social,"Democratic Leadership (also: democraticness, democraticity, democraticing, interpersonal behaviour) is a social facet that captures the degree to which a conversational turn exhibits 'democratic leadership'. Context: Interpersonal style: leadership, collaboration, cooperation, conflict, assertiveness, communication, influence. A high score on Democratic Leadership indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates democratic leadership in their response"", ""The turn contains strong evidence of democratic leadership"", ""The speaker's language consistently reflects democratic leadership""]","[""Absence of any signal related to democratic leadership"", ""The turn contradicts or undermines democratic leadership"", ""No social indicator for democratic leadership is present""]",Absent — no interpersonal signal related to democratic leadership.,Weak or indirect signal of democratic leadership in the interaction.,Neutral — some social signal but democratic leadership is not the dominant pattern.,Present — democratic leadership is clearly demonstrated in this turn.,Strongly and consistently demonstrated; democratic leadership is the defining feature.,"[""democraticness"", ""democraticity"", ""democraticing"", ""interpersonal behaviour"", ""social skill"", ""relational dynamic""]","[""Assertiveness"", ""Empathy""]","[""A speaker says something that clearly reflects democratic leadership."", ""The conversation turn is dominated by democratic leadership.""]","[""democratic"", ""leadership"", ""democraticness"", ""democraticity"", ""democraticing"", ""interpersonal"", ""behaviour"", ""social"", ""skill"", ""relational"", ""dynamic"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""assertiveness"", ""empathy""]",
common_sense,Common-Sense,Common-sense,cognitive,"Common-Sense (also: commonsenseness, commonsenseity, commonsenseing, thinking style) is a cognitive facet that captures the degree to which a conversational turn exhibits 'common-sense'. Context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common sense, statistical and numerical reasoning. A high score on Common-Sense indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates common-sense in their response"", ""The turn contains strong evidence of common-sense"", ""The speaker's language consistently reflects common-sense""]","[""Absence of any signal related to common-sense"", ""The turn contradicts or undermines common-sense"", ""No cognitive indicator for common-sense is present""]",No application of common-sense; reasoning absent or clearly wrong.,Superficial or partial application of common-sense.,Adequate — basic application sufficient for the turn.,"Strong — correct, deliberate application of common-sense with depth.","Expert — sophisticated, fully-correct demonstration of common-sense.","[""commonsenseness"", ""commonsenseity"", ""commonsenseing"", ""thinking style"", ""mental process"", ""reasoning pattern""]","[""Curiosity"", ""Common Sense"", ""Statistical Reasoning""]","[""A speaker says something that clearly reflects common-sense."", ""The conversation turn is dominated by common-sense.""]","[""common"", ""sense"", ""commonsenseness"", ""commonsenseity"", ""commonsenseing"", ""thinking"", ""style"", ""mental"", ""process"", ""reasoning"", ""pattern"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""curiosity"", ""statistical""]",
hesitation,Hesitation,Hesitation,other,"Hesitation (also: hesitationness, hesitationity, hesitationing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'hesitation'. Context: Catch-all for facets that do not fit any profile. A high score on Hesitation indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates hesitation in their response"", ""The turn contains strong evidence of hesitation"", ""The speaker's language consistently reflects hesitation""]","[""Absence of any signal related to hesitation"", ""The turn contradicts or undermines hesitation"", ""No other indicator for hesitation is present""]",Strongly absent — turn actively contradicts or shows the opposite of hesitation.,Mostly absent — only weak or indirect signals of hesitation.,Neutral / mixed — evidence is ambiguous or hesitation is not clearly applicable.,"Mostly present — turn clearly displays hesitation, though not in extreme form.","Strongly present — hesitation is pronounced, unambiguous, and central to the message.","[""hesitationness"", ""hesitationity"", ""hesitationing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects hesitation."", ""The conversation turn is dominated by hesitation.""]","[""hesitation"", ""hesitationness"", ""hesitationity"", ""hesitationing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
discontentment,Discontentment,Discontentment,emotion,"Discontentment (also: discontentmentness, discontentmentity, discontentmenting, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'discontentment'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Discontentment indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates discontentment in their response"", ""The turn contains strong evidence of discontentment"", ""The speaker's language consistently reflects discontentment""]","[""Absence of any signal related to discontentment"", ""The turn contradicts or undermines discontentment"", ""No emotion indicator for discontentment is present""]",Opposite affect — turn expresses the emotional antithesis of discontentment.,Minimal emotional signal toward discontentment; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to discontentment.",Moderate — clear emotional expression aligned with discontentment.,Intense — discontentment dominates the turn; highly expressive and unambiguous.,"[""discontentmentness"", ""discontentmentity"", ""discontentmenting"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects discontentment."", ""The conversation turn is dominated by discontentment.""]","[""discontentment"", ""discontentmentness"", ""discontentmentity"", ""discontentmenting"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth"", ""moroseness""]",
overprotectiveness,Overprotectiveness,Overprotectiveness,other,"Overprotectiveness (also: overprotectivenessness, overprotectivenessity, overprotectivenessing, general attribute) is a other facet that captures the degree to which a conversational turn exhibits 'overprotectiveness'. Context: Catch-all for facets that do not fit any profile. A high score on Overprotectiveness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates overprotectiveness in their response"", ""The turn contains strong evidence of overprotectiveness"", ""The speaker's language consistently reflects overprotectiveness""]","[""Absence of any signal related to overprotectiveness"", ""The turn contradicts or undermines overprotectiveness"", ""No other indicator for overprotectiveness is present""]",Strongly absent — turn actively contradicts or shows the opposite of overprotectiveness.,Mostly absent — only weak or indirect signals of overprotectiveness.,Neutral / mixed — evidence is ambiguous or overprotectiveness is not clearly applicable.,"Mostly present — turn clearly displays overprotectiveness, though not in extreme form.","Strongly present — overprotectiveness is pronounced, unambiguous, and central to the message.","[""overprotectivenessness"", ""overprotectivenessity"", ""overprotectivenessing"", ""general attribute"", ""miscellaneous quality""]",[],"[""A speaker says something that clearly reflects overprotectiveness."", ""The conversation turn is dominated by overprotectiveness.""]","[""overprotectiveness"", ""overprotectivenessness"", ""overprotectivenessity"", ""overprotectivenessing"", ""general"", ""attribute"", ""miscellaneous"", ""quality"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language""]",
merriness,Merriness,Merriness,emotion,"Merriness (also: merrinessness, merrinessity, merrinessing, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'merriness'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Merriness indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates merriness in their response"", ""The turn contains strong evidence of merriness"", ""The speaker's language consistently reflects merriness""]","[""Absence of any signal related to merriness"", ""The turn contradicts or undermines merriness"", ""No emotion indicator for merriness is present""]",Opposite affect — turn expresses the emotional antithesis of merriness.,Minimal emotional signal toward merriness; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to merriness.",Moderate — clear emotional expression aligned with merriness.,Intense — merriness dominates the turn; highly expressive and unambiguous.,"[""merrinessness"", ""merrinessity"", ""merrinessing"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects merriness."", ""The conversation turn is dominated by merriness.""]","[""merriness"", ""merrinessness"", ""merrinessity"", ""merrinessing"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth"", ""moroseness""]",
emotionalism,Emotionalism,Emotionalism,emotion,"Emotionalism (also: emotionalismness, emotionalismity, emotionalisming, emotional expression) is a emotion facet that captures the degree to which a conversational turn exhibits 'emotionalism'. Context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion, warmth. A high score on Emotionalism indicates that the speaker's words, tone, or choices strongly reflect this quality; a low score indicates its absence or the presence of the opposing tendency.","[""Clearly demonstrates emotionalism in their response"", ""The turn contains strong evidence of emotionalism"", ""The speaker's language consistently reflects emotionalism""]","[""Absence of any signal related to emotionalism"", ""The turn contradicts or undermines emotionalism"", ""No emotion indicator for emotionalism is present""]",Opposite affect — turn expresses the emotional antithesis of emotionalism.,Minimal emotional signal toward emotionalism; largely absent.,"Neutral — affect is mixed, ambiguous, or unrelated to emotionalism.",Moderate — clear emotional expression aligned with emotionalism.,Intense — emotionalism dominates the turn; highly expressive and unambiguous.,"[""emotionalismness"", ""emotionalismity"", ""emotionalisming"", ""emotional expression"", ""affective state"", ""feeling tone""]","[""Compassion"", ""Empathy"", ""Warmth"", ""Moroseness""]","[""A speaker says something that clearly reflects emotionalism."", ""The conversation turn is dominated by emotionalism.""]","[""emotionalism"", ""emotionalismness"", ""emotionalismity"", ""emotionalisming"", ""emotional"", ""expression"", ""affective"", ""state"", ""feeling"", ""tone"", ""clearly"", ""demonstrates"", ""turn"", ""contains"", ""speaker's"", ""language"", ""compassion"", ""empathy"", ""warmth"", ""moroseness""]",
